id_title;title
98765485;"#2Маши - как мы записывали ""Звезды"""
98765486;#2Маши - сюжет RUTV о концерте в ИЗВЕСТИЯ Hall
98765487;#2Маши 4 ноября в RED
98765488;#2Маши Mannequin Challenge
98765489;#2Маши «Время» (Acoustic LIVE)
98765490;#2Маши «Звёзды» [ прогулка по Бурано•Италия]
98765491;#2Маши «Рижский влог»
98765492;#2Маши «Сезоны» [ Lyric Video ]
98765493;#2Маши Время [AUDIO]
98765494;#2Маши Квартирник
98765495;"#2Маши МАЯК ""Теперь нас двое"""
98765496;"#2Маши НА КУХНЕ ""Красное - Белое"""
98765497;"#2Маши НА КУХНЕ ""Босая"""
98765498;"#2Маши НА КУХНЕ ""ЗВЕЗДЫ"""
98765499;#2Маши Радио Маяк
98765500;"#2Маши СЮЖЕТ RUSSIANMUSICBOX со съемок клипа ""Мы выбираем"""
98765501;#2Маши на кухне «Тут тебя жду тебя я»
98765502;#2Маши.Концерт в 16Тонн.Презентация альбома.Репортаж RussianMusicBox
98765503;"#Маши ""Тут тебя жду тебя я"" ТИЗЕР"
98765504;13 октября 2018 !#2Маши Большой сольный концерт !!
98765505;Crown Plaza NOX Kazahstan live - Мария Зайцева
98765506;"MARIA ""Гармония"" (Tumi bhaja re mana)"
98765507;"MARIA ""Cижу на диване"""
98765508;"MARIA ""HARMONY"" (Tumi bhaja re mana)"
98765509;"MARIA ""It happened so """
98765510;"MARIA ""WHY DID I LOVE YOU SO"""
98765511;"MARIA ""Zavisimost"""
98765512;"MARIA ""Всё начинается с любви"""
98765513;"MARIA ""Сижу на диване"""
98765514;"Maria ""Pray for Japan"""
98765515;"Будет как будет !!! #2Маши ""Мы выбираем"""
98765516;ЖИВАЯ наружная реклама !!!
98765517;Интро (Теперь нас много)
98765518;"КАРАОКЕ #2Маши ""Звезды"""
98765519;"Как #2Маши ""мысли"" записывали )"
98765520;Как мы записывали «Красное-Белое»
98765521;Как приготовить домашние мюсли
98765522;Как это было. Слёт ангелов!!!
98765523;"Красивая песня о любви!!Маша Зайцева/Маша Шейх ""Теперь нас двое""."
98765524;Красивая песня про Маму ..
98765525;"Мария Зайцева ""I BELONG TO YOU"" cover"
98765526;"Мария Зайцева ""Теряю Голову"""
98765527;"Мария Зайцева ""Down on my knees """
98765528;"Мария Зайцева ""Листья летят"" репетиция"
98765529;"Мария Зайцева ""Листья летят""(Романтика Романса)"
98765530;"Мария Зайцева ""Ты не моё"""
98765531;"Мария Зайцева и Георгий Юфа ""Beauty and the beast"" ""ГОЛОС"""
98765532;Мир Раскололся На 2 Части
98765533;Моя любимая кухня. Салат на скорую руку
98765534;Моя музыка
98765535;НЕ МАМА ЛЮБА ))))))
98765536;На разрыв ... Девушка читает свой стих.
98765537;Не буди
98765538;Немного Репетиционного #2Маши
98765539;"Немного репетиционного ) #2Маши ""теперь нас двое"""
98765540;Одна наша суббота
98765541;Открытие кулинарной рубрики Марии Зайцевой
98765542;Очень вкусные роллы из баклажан ! Рецепт
98765543;ПОЮЩАЯ ЗЕБРА!!!!!!!
98765544;"Питер ! Дорогой ! Это тебе ;)"
98765545;Победила Вера ! :) #3
98765546;Позвони мне
98765547;Посидим на дорожку?? )
98765548;Приглашаем в гости !!
98765549;"Раздел ""Как это было"" ) # 2 Маши"
98765550;"Рецепт САМОГО вкусного имбирного печенья ;). ""Моя любимая кухня"""
98765551;ТЕПЕРЬ НАС ДВОЕ .. #2МАШИ
98765552;Танцы на льду !!! ОСТОРОЖНО! Гололёд !
98765553;Тут тебя жду тебя я ..! #2Маши
98765554;Тут тебя жду тебя я!!!!
98765555;Этажи
98765556;Я к тебе
98765557;"""ALARM"" СЕРГЕЙ ЛАЗАРЕВ ( SERGEY LAZAREV )"
98765558;"""EARTH SONG"" SERGEY LAZAREV. DEDICATED TO MICHAEL JACKSON ( Cover version)"
98765559;"""Earth song"" премия МУЗ-тВ 2010 (LIVE)"
98765560;"""FAKE"" СЕРГЕЙ ЛАЗАРЕВ (SERGEY)"
98765561;"""Feelin High"" Сергей Лазарев Sergey Lazarev live"
98765562;"""Girlfriend"" Сергей Лазарев (SERGEY)"
98765563;"""Heartbeat"" Сергей Лазарев (Sergey Lazarev)"
98765564;"""LAZERBOY"" Сергей Лазарев (SERGEY) feat. TИМАТИ (Timati)"
98765565;"""LAZERBOY""( Michael Yousher videoremix) Сергей Лазарев (SERGEY) и ТИМАТИ"
98765566;"""Lost without your love"" Сергей Лазарев (SERGEY)"
98765567;"""STEREO"" (LIVE) Сергей Лазарев (SERGEY)"
98765568;"""Shattered dreams"" Сергей Лазарев (SERGEY)"
98765569;"""Tv or radio"" Сергей Лазарев (SERGEY)"
98765570;"""You Are The Only One"" - Sergey Lazarev /MadWalk Fashion Music Show"
98765571;"""НАЙДИ МЕНЯ"" Сергей Лазарев (SERGEY)"
98765572;"""Честное слово с Юрием Николаевым"". Гость Сергей Лазарев. Выпуск от 08.10.2017"
98765573;7 Wonders
98765574;7 цифр. Закрытие чемпионата мира. Казань, 09.08.2015
98765575;Alcosong
98765576;Beautiful
98765577;Breakthrough
98765578;Can't Let You Go (Earphones Mix)
98765579;Curiosity
98765580;"CЕРГЕЙ ЛАЗАРЕВ ""ЯИЧКО ВСМЯТКУ"" (СПЕЦИАЛЬНО ДЛЯ ""ВЕЧЕРНЕГО УРГАНТА"""
98765581;"DVOE - ""Падали"" (Official Video)"
98765582;Davay Tantcevat
98765583;Davay rasstanemsya
98765584;Deep blue
98765585;Desire
98765586;Dlyu Etoy Muziki Mig Repriza
98765587;Do It for Me
98765588;Do Me Right
98765589;Doigralis
98765590;EUROVISION 2016 СЕРГЕЙ ЛАЗАРЕВ
98765591;Eat you up
98765592;Emotions
98765593;Etot Den
98765594;Eurovision 2016 Russia
98765595;Fake (Gay Club Video Remix) Сергей Лазарев (SERGEY)
98765596;Flying
98765597;Freaky tonight
98765598;Going under
98765599;Hard to Love
98765600;He Said She Said
98765601;I Need Love
98765602;I'm Gone
98765603;Idi Dorogoy Svoey
98765604;In My Lonely Life
98765605;Jizn Svou Tebe Daru
98765606;Keep Your Mouth Shut
98765607;Krik
98765608;LazerBond (show­ teaser)
98765609;Make You Say
98765610;Mi Snova Zdes
98765611;Money on Love
98765612;Moscow to California
98765613;Music Under My Skin
98765614;Nash Mir
98765615;Nash Zvezdniy Chas
98765616;Naverh V Oblaka
98765617;Ne Zevaem - Ne Spim!
98765618;Nobody Told Me
98765619;Not worth it anymore
98765620;On the other side
98765621;Ostrov
98765622;Otpuskayu
98765623;P'yanym, chem obmanutym
98765624;Paparazzi
98765625;Pro-новости 16.11.15. О сольном концерте Сергея Лазарева в Москве
98765626;Pro-новости Муз 2018.04.02. Сергею Лазареву - 35
98765627;Rebound
98765628;Ruka K Ruke, Drujnee
98765629;"SERGEY LAZAREV "" TAKE IT OFF "" NEW SONG 2012 (СЕРГЕЙ ЛАЗАРЕВ)"
98765630;"SERGEY LAZAREV ""Take It Off"" making of the video (OFFICIAL)"
98765631;"Sergey Lazarev Сергей Лазарев ""EARTH SONG"""
98765632;"Sergey Lazarev ""LAZERBOY"" LIVE ( St.Petersburg) Сергей Лазарев"
98765633;"Sergey Lazarev Сергей Лазарев ""Ponaroshku"""
98765634;Sergey Lazarev & Helena Paparizou - You Are The Only One (Mad Video Music Awards 2016
98765635;Sergey Lazarev - Almost Sorry ( Сергей Лазарев )
98765636;Sergey Lazarev - Breaking Away (Official Video)
98765637;Sergey Lazarev - Cure The Thunder ft. T-Pain
98765638;Sergey Lazarev - Instantly
98765639;Sergey Lazarev - Scream - Eurovision 2019 ( Russia )
98765640;Sergey Lazarev - Stumblin'
98765641;Sergey Lazarev - Vdrebezgi (Pseudo Video)
98765642;Sergey Lazarev - You are the only one (Eurovision 2016 Russia)
98765643;Sergey Lazarev - You are the only one / THE MAKING OF (Eurovision 2016 Russia)
98765644;Sergey Lazarev feat T-Pain Cure the thunder MAKING OF the video
98765645;"Sergey Lazarev Сергей Лазарев ""FLYER"" Новая волна 2008 диско"
98765646;"Sergey Lazarev Сергей Лазарев ""Fake"""
98765647;"Sergey Lazarev Сергей Лазарев ""I love to hate you"""
98765648;"Sergey Lazarev Сергей Лазарев ""Shattered dreams"""
98765649;"Sergey Lazarev Сергей Лазарев ""Shattered dreams"" 1St Channel"
98765650;"Sergey Lazarev Сергей Лазарев ""Shattered dreams"" ВЫПУСКНОЙ"
98765651;"Sergey Lazarev Сергей Лазарев ""Tv or Radio"" LIVE"
98765652;"Sergey Lazarev Сергей Лазарев""Даже если ты уйдешь"""
98765653;Sergey Lazarev “You Are The Only One” LIVE @ The Late Night Show with Ivan Ivanovic
98765654;Sergey Lazarev's Birthday party ! 33 ! in Moscow
98765655;Sergey Lazarev.Press Conference in Moscow.Russian Pre-Party Eurovision 2016
98765656;Sexy Automatic
98765657;Seychas Ili Nikogda
98765658;Shattered Dreams
98765659;She Is
98765660;She Said
98765661;Shiver
98765662;"Show ""THE BEST"" Moscow. November 24, 2016 . Crocus City Hall. ( teaser)"
98765663;Slow Mo
98765664;Smash!! Belle Новая Волна 2002
98765665;Someone Like You
98765666;Stand by me (Denis First & Reznikov Remix)
98765667;Storm
98765668;That's Where I'll Belong (Slow Version)
98765669;The Flyer
98765670;Under the Moon
98765671;V Epitsentre
98765672;Veryu Ya
98765673;Vipusknoy Vesenniy Muzikl (Medley)
98765674;Vsego Polshaga (Repriza)
98765675;Warrior
98765676;Yesterday
98765677;"You Are The Only One (Live) выступление Сергея Лазарева на открытии ""Новой волны-2016"""
98765678;You put out the fire
98765679;Белые ночи Санкт-Петербурга 2018.07.22 Сергей Лазарев - Сдавайся
98765680;Биение сердца со зрителем
98765681;Выступление Сергея Лазарева на Europa Plus Live 25.07.2015
98765682;Главный новогодний концерт 2017.12.31 Грустные люди
98765683;Достояние Республики 26.09.2015. Сергей Лазарев - Вьюга
98765684;Жара 2017. Сергей Лазарев - Лаки стрэнджер
98765685;Жара-2017. Сергей Лазарев и Дима Билан - Прости меня
98765686;Жара-2018. Сергей Лазарев - Сдавайся
98765687;"Лазарев Сергей ""НАЙДИ МЕНЯ"" Sergey Lazarev"
98765688;Лазарев в Самаре LIVE
98765689;Лазарев/Билан «Прости меня» - backstage клипа
98765690;Молитва. Сергей Лазарев и Влад Топалов. Юбилейный вечер Юрия Николаева 2018.12.23
98765691;Наедине со всеми - Сергей Лазарев. 03.11.2015
98765692;Новая волна 2015.10.02. Сергей Лазарев - Это всё она
98765693;Новая волна 2016. Сергей Лазарев - Идеальный мир (Live)
98765694;Новое шоу “N-Tour“.
98765695;Новый балет Лазарева  -  LOL
98765696;Однажды 2017.06.17. Сергей Лазарев
98765697;Премия Муз ТВ Муз 2018.06.08 Сергей Лазарев - Так красиво
98765698;Премия Муз-ТВ 2017.06.09 Сергей Лазарев и Дима Билан - Прости меня
98765699;"Премьера шоу ""N-тур"" в Москве. Pro-новости 20.04.2018"
98765700;"Привет, Андрей! 09.02.2019. Сергей Лазарев представит Россию на """"Евровидении-2019"""""
98765701;ПрожекторПэрисХилтон. Сергей Лазарев (LIVE)
98765702;С.Лазарев и Д.Арбенина - Грустные люди | Концерт ко Дню работников атомной промышленности 2018.09.20
98765703;СЕРГЕЙ ЛАЗАРЕВ “ВДРЕБЕЗГИ LIVE“ ¦ ПРЕМЬЕРА ПЕСНИ ¦ ЖИВАЯ СРЕДА ¦ НОВОЕ РАДИО
98765704;СЕРГЕЙ ЛАЗАРЕВ “ИДЕАЛЬНЫЙ МИР LIVE“ ¦ ЖИВАЯ СРЕДА ¦ НОВОЕ РАДИО
98765705;СЕРГЕЙ ЛАЗАРЕВ “ЛАКИ СТРЭНДЖЕР LIVE“ ¦ ЖИВАЯ СРЕДА ¦ НОВОЕ РАДИО
98765706;СЕРГЕЙ ЛАЗАРЕВ “НОВЫЙ ГОД LIVE“ ¦ ПРЕМЬЕРА ПЕСНИ ¦ ЖИВАЯ СРЕДА ¦ НОВОЕ РАДИО
98765707;СЕРГЕЙ ЛАЗАРЕВ “ПУСТЬ ВЕСЬ МИР ПОДОЖДЁТ LIVE“ ¦ ЖИВАЯ СРЕДА ¦ НОВОЕ РАДИО
98765708;СЕРГЕЙ ЛАЗАРЕВ “ТАК КРАСИВО LIVE“ ¦ ЖИВАЯ СРЕДА ¦ НОВОЕ РАДИО
98765709;СЕРГЕЙ ЛАЗАРЕВ “ТАКТИЛЬНО LIVE“ ¦ ПРЕМЬЕРА ПЕСНИ ¦ ЖИВАЯ СРЕДА ¦ НОВОЕ РАДИО
98765710;СЕРГЕЙ ЛАЗАРЕВ “ШЁПОТОМ LIVE“ ¦ ПРЕМЬЕРА ПЕСНИ ¦ ЖИВАЯ СРЕДА ¦ НОВОЕ РАДИО
98765711;"СЕРГЕЙ ЛАЗАРЕВ NEW SONG ""Electric touch"" (OFFICIAL VIDEO 2011) SERGEY LAZAREV"
98765712;"СЕРГЕЙ ЛАЗАРЕВ SERGEY LAZAREV ""ALARM"" NEW SINGLE"
98765713;"СЕРГЕЙ ЛАЗАРЕВ "" ГДЕ-ТО, ГДЕ ТЫ"" SERGEY LAZAREV"
98765714;"СЕРГЕЙ ЛАЗАРЕВ ""7 wonders"" (LIVE) шоу ""ЛАЗАРЕВ"" в СК ""Олимпийский"""
98765715;"СЕРГЕЙ ЛАЗАРЕВ ""Electric Touch"""
98765716;"СЕРГЕЙ ЛАЗАРЕВ ""In my lonely life"" EXCLUSIVE !!!!"
98765717;"СЕРГЕЙ ЛАЗАРЕВ ""J'ai Peur"" ( УНИВЕРСАЛЬНЫЙ АРТИСТ) Жанр: Мюзикл"
98765718;"СЕРГЕЙ ЛАЗАРЕВ ""TAKE IT OFF"" ( OFFICIAL VIDEO ) Sergey Lazarev"
98765719;"СЕРГЕЙ ЛАЗАРЕВ ""TV or RADIO"" АНОНС на MTV"
98765720;"СЕРГЕЙ ЛАЗАРЕВ ""АНАСТАСИЯ"" SERGEY LAZAREV"
98765721;"СЕРГЕЙ ЛАЗАРЕВ ""ВЕСНА"" (ТИЗЕР)"
98765722;"СЕРГЕЙ ЛАЗАРЕВ ""НЕРЕАЛЬНАЯ ЛЮБОВЬ"" (ПРЕМЬЕРА!!) NEW!!!"
98765723;"СЕРГЕЙ ЛАЗАРЕВ ""НЕРЕАЛЬНАЯ ЛЮБОВЬ"" NEW SONG 2012"
98765724;"СЕРГЕЙ ЛАЗАРЕВ ""НЕРЕАЛЬНАЯ ЛЮБОВЬ"" ОФИЦИАЛЬНЫЙ ТИЗЕР"
98765725;"СЕРГЕЙ ЛАЗАРЕВ ""ПЕСЕНКА СТУДЕНТА"""
98765726;"СЕРГЕЙ ЛАЗАРЕВ ""СЛЕЗЫ В МОЕМ СЕРДЦЕ"" (CHINKONG PRODUCTION MIX) Official video"
98765727;"СЕРГЕЙ ЛАЗАРЕВ , ШОУ ""ЛАЗАРЕВ"" в СК Олимпийский (2013 год)"
98765728;СЕРГЕЙ ЛАЗАРЕВ ПРО НОВЫЙ ГОД 2018 ¦ ЖИВАЯ СРЕДА ¦ НОВОЕ РАДИО
98765729;"Сергей Лазарев ""7 wonders"" (Official video)"
98765730;"Сергей Лазарев ""7 цифр"""
98765731;"Сергей Лазарев ""ALARM"" (Making of the video)"
98765732;"Сергей Лазарев ""Alarm"" (LIVE) MUZ-TV AWARDS 2010 (SERGEY)"
98765733;"Сергей Лазарев ""Emotions"" LIVE from Moscow"
98765734;"Сергей Лазарев ""Eye of the storm"" (SERGEY LAZAREV)"
98765735;"Сергей Лазарев ""Feelin' High"" Sergey Lazarev"
98765736;"Сергей Лазарев ""Feelin' high"" Выпускной в Кремле 2010"
98765737;"Сергей Лазарев ""Keep your mouth shut"" ( ""Универсальный артист"") ФИНАЛ"
98765738;"Сергей Лазарев ""Like a prayer"" (шоу ""Универсальный артист"") ПОП-Музыка"
98765739;"Сергей Лазарев ""Lost without your love"" (LIVE) MUZ-TV Awards 2011"
98765740;"Сергей Лазарев ""Mack the Knife"" (УНИВЕРСАЛЬНЫЙ АРТИСТ). Жанр: Джаз,блюз"
98765741;"Сергей Лазарев ""Shiver"" Live from Оmsk"
98765742;"Сергей Лазарев ""Анастасия"""
98765743;"Сергей Лазарев ""Анастасия"" (УНИВЕРСАЛЬНЫЙ АРТИСТ) Жанр: Советская песня"
98765744;"Сергей Лазарев ""Биение Сердца"""
98765745;"Сергей Лазарев ""Биение Сердца"" LIVE"
98765746;"Сергей Лазарев ""Биение сердца"" гастроли по Дальнему Востоку 2012 г. Часть 1"
98765747;"Сергей Лазарев ""Биение сердца"" - Парад Звезд"
98765748;"Сергей Лазарев ""Владимирский централ"" ( шоу ""Универсальный артист"" ) ШАНСОН"
98765749;"Сергей Лазарев ""Вспоминай"" (SERGEY LAZAREV) official video"
98765750;"Сергей Лазарев ""Вспоминай"" (Звездный вечер 23 08 2013) LIVE"
98765751;"Сергей Лазарев ""Даже если ты уйдешь"" (Звездный вечер 23 08 2013) LIVE"
98765752;"Сергей Лазарев ""Коламбия Пикчерз"" ( ""Универсальный артист"") Жанр: Хип-Хоп, R'n'b"
98765753;"Сергей Лазарев ""НАЙДИ МЕНЯ"" на НОВОЙ ВОЛНЕ 2009 SERGEY LAZAREV"
98765754;"Сергей Лазарев ""Найди меня"""
98765755;"Сергей Лазарев ""Найди меня"" ( Трейлер )"
98765756;"Сергей Лазарев ""Найди меня"" (Remix)"
98765757;"Сергей Лазарев ""Найди меня"" на Параде Звезд"
98765758;"Сергей Лазарев ""Очи черные""( УНИВЕРСАЛЬНЫЙ АРТИСТ) жанр: Песни народов мира"
98765759;"Сергей Лазарев ""Пусть весь мир подождет"" (русская версия песни ""You Are The only one"")"
98765760;"Сергей Лазарев ""Районы,Кварталы""( УНИВЕРСАЛЬНЫЙ АРТИСТ) Жанр:РОК"
98765761;"Сергей Лазарев ""Слезы в моем сердце"" (Звездный вечер 23 08 2013) LIVE"
98765762;"Сергей Лазарев ""Слезы в моем сердце""(Ballad version by Chinkong production)"
98765763;"Сергей Лазарев ""Холодный Ноябрь"" (AUDIO)"
98765764;"Сергей Лазарев ""Это всё она"" ( FAN LYRIC VIDEO)"
98765765;Сергей Лазарев & Дима Билан - Прости меня (Lyric Video)
98765766;Сергей Лазарев & Дима Билан - Прости меня (Official video)
98765767;"Сергей Лазарев (SERGEY LAZAREV)""Everytime"""
98765768;"Сергей Лазарев - ""You are the only one"". Премьера песни"
98765769;"Сергей Лазарев - ""Шепотом"" (Official video)"
98765770;"Сергей Лазарев - ""Это всё она"" - второй тизер нового клипа"
98765771;Сергей Лазарев - 7 цифр (Official video)
98765772;Сергей Лазарев - 7 цифр. Новая волна 2015.10.11
98765773;Сергей Лазарев - Lucky Stranger (Official video)
98765774;Сергей Лазарев - You are the only one. Открытие Славянского базара 14.07.2016
98765775;Сергей Лазарев - В самое сердце (Official video)
98765776;Сергей Лазарев - Весна (Official video)
98765777;Сергей Лазарев - Вспоминай ( Sergey Lazarev )
98765778;Сергей Лазарев - Еще люблю. Новая волна 2018.09 05 Трибьют А-Студио.
98765779;Сергей Лазарев - Замок из дождя. Новая волна-2018, Трибьют В.Преснякова.
98765780;Сергей Лазарев - Зачем придумали любовь ( Sergey Lazarev )
98765781;Сергей Лазарев - Идеальный мир
98765782;Сергей Лазарев - Идеальный мир (Official video)
98765783;Сергей Лазарев - Лаки стрэнджер. Новая волна, 08.09.2017
98765784;"Сергей Лазарев - Пополам. Открытие ""Новой волны-2018"""
98765785;Сергей Лазарев - Пусть весь мир подождет | 2018.09.20
98765786;Сергей Лазарев - Пусть весь мир подождёт
98765787;Сергей Лазарев - Сдавайся (Official video)
98765788;Сергей Лазарев - Сдавайся. Новая волна 13.09.2017
98765789;Сергей Лазарев - Сдавайся. Новая волна-2018, Церемония закрытия
98765790;Сергей Лазарев - Сердце в тысячу свечей. Новая волна 12.09.17
98765791;Сергей Лазарев - Так красиво (Lyric Video)
98765792;Сергей Лазарев - Так красиво (Official Video)
98765793;Сергей Лазарев - Так красиво. Новая волна, 14.09.17
98765794;Сергей Лазарев - Того, кого не стоило бы ждать. Новая волна-2018 Вечер песен Леонида Агутина
98765795;Сергей Лазарев - Шепотом | Большой рождественский концерт с Г.Лепсом 2018.12.26
98765796;Сергей Лазарев - Шепотом. Новая волна-2018, День премьер.
98765797;Сергей Лазарев - Это все она (Official video)
98765798;Сергей Лазарев - Это все она. Новая волна 10.09.2017
98765799;Сергей Лазарев - подготовка к шоу «N-tour»
98765800;"Сергей Лазарев 14 лет ""Ты меня на рассвете разбудишь"""
98765801;Сергей Лазарев ALARM (LIVE) Sergey Lazarev
98765802;"Сергей Лазарев ALARM МузТв ""Мы умеем зажигать 2010"""
98765803;Сергей Лазарев Big Love Show 2012(Electric,Биение сердца,Moscow-California)
98765804;Сергей Лазарев Live from tour
98765805;"Сергей Лазарев SERGEY LAZAREV "" Вопреки "" (New Wave 2012)"
98765806;"Сергей Лазарев SERGEY LAZAREV ""LAZERBOY"" LIVE MUZ-TV AWADS"
98765807;"Сергей Лазарев SERGEY LAZAREV ""TAKE IT OFF"" (New Wave 2012)"
98765808;"Сергей Лазарев Sergey Lazarev ""Dancing on ice"""
98765809;Сергей Лазарев live from novosibirsk. tv show tour
98765810;"Сергей Лазарев | Шоу ""THE BEST"" |100-й концерт тура | Москва | Крокус Сити Холл"
98765811;"Сергей Лазарев и Алсу ""The Whole New World"""
98765812;"Сергей Лазарев и Анастасия Гребенкина ""Show must go on"" ФИНАЛ ( полет)"
98765813;"Сергей Лазарев и Анастасия Гребенкина (шоу ""ТАНЦЫ НА ЛЬДУ"") ФИНАЛ 1 (2006г)"
98765814;"Сергей Лазарев и Анастасия Гребенкина (шоу ""ТАНЦЫ НА ЛЬДУ"") выпуск 1 (2006г)"
98765815;"Сергей Лазарев и Анастасия Гребенкина (шоу ""ТАНЦЫ НА ЛЬДУ"") выпуск 2 (2006г)"
98765816;"Сергей Лазарев и Анастасия Гребенкина (шоу ""ТАНЦЫ НА ЛЬДУ"") выпуск 3 (2006г)"
98765817;"Сергей Лазарев и Анастасия Гребенкина (шоу ""ТАНЦЫ НА ЛЬДУ"") выпуск 7 (2006г)"
98765818;"Сергей Лазарев и Анастасия Гребенкина (шоу ""ТАНЦЫ НА ЛЬДУ"") финал 2 (2006г)"
98765819;"Сергей Лазарев и Ани Лорак "" When you tell me that you love me"""
98765820;"Сергей Лазарев и Ани Лорак "" Я не сдамся без бою"""
98765821;"Сергей Лазарев и Ани Лорак ""Я не сдамся без бою""(New Wave 2012)"
98765822;"Сергей Лазарев и Вика Дайнеко ""Даже если ты уйдешь"" LIVE"
98765823;Сергей Лазарев и Дима Билан - Прости меня. 10.09.17
98765824;Сергей Лазарев и куклы..
98765825;"Сергей Лазарев, Шоу ""Биение сердца"".Moscow 2011 - Sergey Lazarev - Show ""HEARTBEAT"""
98765826;"Сергей Лазарев. ""Это всё она"" - официальный тизер"
98765827;Сергей Лазарев. Earth song. Вена. Charity Concert “All for autism”
98765828;Сергей Лазарев. Даже если ты уйдешь. Вена. Charity Concert “All for autism”
98765829;"Сергей Лазарев. Документальный фильм о туре ""THE BEST"" (2015-2017)"
98765830;Сергей Лазарев. Концерт HIT NON STOP на фестивале Славянский Базар 12.07.2015
98765831;Сергей Лазарев. Открытие Именной Звезды в ТРЦ Июнь 02 04 2016
98765832;Сергею Лазареву - 35!
98765833;"ШОУ ""ЛАЗАРЕВ."" (ТИЗЕР) СК ""ОЛИМПИЙСКИЙ"" (зал Север)"
98765834;Шоу Валентина Юдашкина 2018.03.08 Так красиво
98765835;жесткач в туре... негламурные будни...
98765836;"лазарев сергей ""Цирк со звездами"" кольца"
98765837;"""Love Radio"": Съемки клипа НЮШИ ""Наедине"""
98765838;"""Ru Music"": НЮША сняла новый клип!"
98765839;"""Ru Новости"": НЮША чудом вернулась в Москву!"
98765840;"""В теме"" на Ю: НЮША"
98765841;"""В теме"" на Ю: НЮША любимый артист портала Woman.ru"
98765842;"""Комсомольская правда"": НЮША"
98765843;"""М1"": НЮША сняла клип в Киеве!"
98765844;"""Партийная ZONA"" на МУЗ ТВ: Интервью с НЮШЕЙ"
98765845;"""Партийная ZONA"" на МУЗ ТВ: НЮША"
98765846;"""Русский чарт"" с НЮШЕЙ на МУЗе"
98765847;"""Русский чарт"" с НЮШЕЙ на МУЗе"
98765848;"""Русский чарт"" с НЮШЕЙ на МУЗе"
98765849;"""Стол заказов"" на RU.TV: НЮША"
98765850;"""Топ лист. Итоги года"" на RU.TV: НЮША"
98765851;"""Утро России"" на ""Россия 1"": НЮША"
